2022-04-18 16:17:22.993 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:17:22.993 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-18 16:17:23.295 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 200, 'condition': {'groupStatus': 'Activity', 'startTime': '2000-04-13 00:00:00', 'endTime': '2022-03-13 23:59:59'}}
2022-04-18 16:17:23.295 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":0,"list":[]}}
2022-04-18 16:17:23.295 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.208358
2022-04-18 16:17:23.673 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'Activity', 'agentId': '1402661430539911171', 'startTime': '', 'endTime': '2022-04-13 23:59:59'}}
2022-04-18 16:17:23.673 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":-1,"msg":"接口未知异常","data":null}
2022-04-18 16:17:23.673 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.191947
2022-04-18 16:17:23.673 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：-1
2022-04-18 16:17:23.673 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:17:23.674 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-18 16:17:23.875 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'Activity', 'agentId': '1402661430539911171', 'startTime': '', 'endTime': ''}}
2022-04-18 16:17:23.875 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":-1,"msg":"接口未知异常","data":null}
2022-04-18 16:17:23.875 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.114397
2022-04-18 16:17:23.875 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：-1
2022-04-18 16:17:23.876 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:17:23.876 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
