2022-04-18 16:46:42.438 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'startTime': '2022-04-13 23:59:59', 'endTime': '2022-04-13 23:59:59', 'clinicId': 0}
2022-04-18 16:46:42.439 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"totalTestMoney":0.00,"totalTestPortion":0.00,"testDetail":[]}}
2022-04-18 16:46:42.439 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.108022
2022-04-18 16:46:42.439 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 16:46:42.439 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:46:42.633 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'startTime': '2022-04-13 23:59:59', 'endTime': '2022-04-13 23:59:59', 'clinicId': 1}
2022-04-18 16:46:42.633 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"totalTestMoney":0.00,"totalTestPortion":0.00,"testDetail":[]}}
2022-04-18 16:46:42.634 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.10128
2022-04-18 16:46:42.635 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 16:46:42.635 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:46:42.904 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'startTime': '2020-04-13 23:59:59', 'endTime': '2022-04-13 23:59:59', 'clinicId': 1386661297593581569}
2022-04-18 16:46:42.904 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"totalTestMoney":0.00,"totalTestPortion":0.00,"testDetail":[]}}
2022-04-18 16:46:42.904 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.177167
2022-04-18 16:46:42.904 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 16:46:42.905 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
