2022-04-18 16:16:28.629 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'Activity', 'agentId': '1402661430539911171', 'startTime': '2020-03-13 00:00:00', 'endTime': '2022-04-20 23:59:59'}}
2022-04-18 16:16:28.629 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":1,"list":[{"clinicId":"1515962886886125570","clinicName":"接口测试","clinicMobile":"13698765432","agentName":"接口测试","testAmount":0.00,"testNumber":0.0,"testPerson":0.00,"installedDay":0,"address":null,"headPicture":null,"termAgentName":"接口测试","termAgentId":"1515959916883808257"}]}}
2022-04-18 16:16:28.630 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.384115
2022-04-18 16:16:28.630 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 16:16:28.630 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:16:28.885 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'Activity', 'agentId': '', 'startTime': '2022-03-13 00:00:00', 'endTime': '2022-04-13 23:59:59'}}
2022-04-18 16:16:28.885 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":0,"list":[]}}
2022-04-18 16:16:28.886 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.161219
2022-04-18 16:16:28.886 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 16:16:28.886 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:16:28.886 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-18 16:16:29.129 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'InActivity', 'agentId': '', 'startTime': '2022-03-13 00:00:00', 'endTime': '2022-04-13 23:59:59'}}
2022-04-18 16:16:29.130 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":0,"list":[]}}
2022-04-18 16:16:29.130 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.153855
2022-04-18 16:16:29.130 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 16:16:29.130 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:16:29.130 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-18 16:16:29.373 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'InActivity', 'agentId': '1402661430539911171', 'startTime': '2022-03-13 00:00:00', 'endTime': '2022-04-13 23:59:59'}}
2022-04-18 16:16:29.373 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":0,"list":[]}}
2022-04-18 16:16:29.373 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.153544
2022-04-18 16:16:29.373 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 16:16:29.373 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:16:29.374 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-18 16:16:29.618 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'InActivity', 'agentId': '000000000000', 'startTime': '2022-03-13 00:00:00', 'endTime': '2022-04-13 23:59:59'}}
2022-04-18 16:16:29.618 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":0,"list":[]}}
2022-04-18 16:16:29.618 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.157268
2022-04-18 16:16:29.618 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 16:16:29.618 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:16:29.618 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-18 16:16:29.812 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 0, 'pageSize': 10, 'condition': {'groupStatus': 'InActivity', 'agentId': '000000000000', 'startTime': '2022-03-13 00:00:00', 'endTime': '2022-04-13 23:59:59'}}
2022-04-18 16:16:29.812 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"parameter:当前页不能小于1","data":null}
2022-04-18 16:16:29.812 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.106133
2022-04-18 16:16:29.813 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：400
2022-04-18 16:16:29.813 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:16:29.813 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-18 16:16:30.065 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'InActivity', 'agentId': '000000000000', 'startTime': '2022-04-13 00:00:00', 'endTime': '2022-03-13 23:59:59'}}
2022-04-18 16:16:30.065 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":0,"list":[]}}
2022-04-18 16:16:30.065 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.164213
2022-04-18 16:16:30.065 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 16:16:30.066 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:16:30.066 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-18 16:16:30.356 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 200, 'condition': {'groupStatus': 'Activity', 'startTime': '2000-04-13 00:00:00', 'endTime': '2022-03-13 23:59:59'}}
2022-04-18 16:16:30.357 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":0,"list":[]}}
2022-04-18 16:16:30.357 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.18776
2022-04-18 16:16:30.560 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'Activity', 'agentId': '1402661430539911171', 'startTime': '', 'endTime': '2022-04-13 23:59:59'}}
