2022-04-18 16:17:52.104 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'Activity', 'agentId': '1402661430539911171', 'startTime': '2020-03-13 00:00:00', 'endTime': '2022-04-20 23:59:59'}}
2022-04-18 16:17:52.104 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":1,"list":[{"clinicId":"1515962886886125570","clinicName":"接口测试","clinicMobile":"13698765432","agentName":"接口测试","testAmount":0.00,"testNumber":0.0,"testPerson":0.00,"installedDay":0,"address":null,"headPicture":null,"termAgentName":"接口测试","termAgentId":"1515959916883808257"}]}}
2022-04-18 16:17:52.105 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.225301
2022-04-18 16:17:52.105 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 16:17:52.105 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:17:52.105 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-18 16:17:52.436 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'Activity', 'agentId': '', 'startTime': '2022-03-13 00:00:00', 'endTime': '2023-04-13 23:59:59'}}
2022-04-18 16:17:52.436 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":1,"list":[{"clinicId":"1515962886886125570","clinicName":"接口测试","clinicMobile":"13698765432","agentName":"接口测试","testAmount":0.00,"testNumber":0.0,"testPerson":0.00,"installedDay":0,"address":null,"headPicture":null,"termAgentName":"接口测试","termAgentId":"1515959916883808257"}]}}
2022-04-18 16:17:52.436 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.23327
2022-04-18 16:17:52.436 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 16:17:52.436 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:17:52.436 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-18 16:17:52.701 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'InActivity', 'agentId': '', 'startTime': '2022-03-13 00:00:00', 'endTime': '2022-04-13 23:59:59'}}
2022-04-18 16:17:52.701 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":0,"list":[]}}
2022-04-18 16:17:52.701 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.173903
2022-04-18 16:17:52.701 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 16:17:52.702 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:17:52.702 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-18 16:17:53.013 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'InActivity', 'agentId': '1402661430539911171', 'startTime': '2022-03-13 00:00:00', 'endTime': '2022-04-13 23:59:59'}}
2022-04-18 16:17:53.013 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":0,"list":[]}}
2022-04-18 16:17:53.013 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.2092
2022-04-18 16:17:53.013 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 16:17:53.013 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:17:53.014 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-18 16:17:53.447 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'InActivity', 'agentId': '000000000000', 'startTime': '2022-03-13 00:00:00', 'endTime': '2022-04-13 23:59:59'}}
2022-04-18 16:17:53.448 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":0,"list":[]}}
2022-04-18 16:17:53.448 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.350623
2022-04-18 16:17:53.448 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 16:17:53.448 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:17:53.449 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-18 16:17:53.663 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 0, 'pageSize': 10, 'condition': {'groupStatus': 'InActivity', 'agentId': '000000000000', 'startTime': '2022-03-13 00:00:00', 'endTime': '2022-04-13 23:59:59'}}
2022-04-18 16:17:53.663 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"parameter:当前页不能小于1","data":null}
2022-04-18 16:17:53.663 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.126128
2022-04-18 16:17:53.663 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：400
2022-04-18 16:17:53.664 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:17:53.664 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-18 16:17:53.985 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'InActivity', 'agentId': '000000000000', 'startTime': '2022-04-13 00:00:00', 'endTime': '2022-03-13 23:59:59'}}
2022-04-18 16:17:53.985 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":0,"list":[]}}
2022-04-18 16:17:53.985 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.235478
2022-04-18 16:17:53.985 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-18 16:17:53.985 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-18 16:17:53.986 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-18 16:17:54.411 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 200, 'condition': {'groupStatus': 'Activity', 'startTime': '2000-04-13 00:00:00', 'endTime': '2022-03-13 23:59:59'}}
2022-04-18 16:17:54.412 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":0,"list":[]}}
2022-04-18 16:17:54.412 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.32858
2022-04-18 16:17:54.640 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'Activity', 'agentId': '1402661430539911171', 'startTime': '', 'endTime': '2022-04-13 23:59:59'}}
2022-04-18 16:17:54.641 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":-1,"msg":"接口未知异常","data":null}
2022-04-18 16:17:54.641 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.132632
