2022-04-20 15:53:47.033 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '2022-04-19 00:00:00', 'startTime': '2000-04-11 00:00:00'}
2022-04-20 15:53:47.034 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[]}
2022-04-20 15:53:47.034 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.112353
2022-04-20 15:53:47.034 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 15:53:47.034 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 15:53:47.034 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 15:53:47.225 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '2022-04-01 00:00:00', 'startTime': '2000-04-11 00:00:00'}
2022-04-20 15:53:47.225 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[]}
2022-04-20 15:53:47.226 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.1021
2022-04-20 15:53:47.226 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 15:53:47.226 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 15:53:47.226 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 15:53:47.391 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '', 'startTime': '2000-04-11 00:00:00'}
2022-04-20 15:53:47.391 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"endTime：结束时间不能为空","data":null}
2022-04-20 15:53:47.392 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.08154
2022-04-20 15:53:47.393 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：400
2022-04-20 15:53:47.393 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 15:53:47.393 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 15:53:47.560 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '2000-04-11 00:00:00', 'startTime': ''}
2022-04-20 15:53:47.561 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
2022-04-20 15:53:47.561 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.078523
2022-04-20 15:53:47.561 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：400
2022-04-20 15:53:47.562 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 15:53:47.562 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 15:53:47.730 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '1', 'startTime': ''}
2022-04-20 15:53:47.730 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
2022-04-20 15:53:47.731 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.082053
2022-04-20 15:53:47.731 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：400
2022-04-20 15:53:47.731 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 15:53:47.731 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 15:53:47.956 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'period': 'day'}
2022-04-20 15:53:47.956 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"agentDetail":[{"staticDateSegment":"2022.04.19","totalAgentNum":0,"newAgentNum":0},{"staticDateSegment":"2022.04.18","totalAgentNum":0,"newAgentNum":0}],"increaseTotalAgentNum":0,"increaseAgentNum":0,"increaseAgentRatio":0.00,"increaseTotalAgentRatio":0.00}}
2022-04-20 15:53:47.957 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.134223
2022-04-20 15:53:47.957 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 15:53:47.957 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 15:53:47.957 | INFO     | common.unittestMain:assert_data:96 - 响应内容与预期一致
2022-04-20 15:53:48.168 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'period': 'week'}
