2022-04-20 16:12:54.082 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '2022-04-19 00:00:00', 'startTime': '2000-04-11 00:00:00'}
2022-04-20 16:12:54.083 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[]}
2022-04-20 16:12:54.083 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.171344
2022-04-20 16:12:54.083 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 16:12:54.083 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 16:12:54.083 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 16:12:54.288 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '2022-04-01 00:00:00', 'startTime': '2000-04-11 00:00:00'}
2022-04-20 16:12:54.289 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[]}
2022-04-20 16:12:54.289 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.10887
2022-04-20 16:12:54.289 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 16:12:54.289 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 16:12:54.289 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 16:12:54.459 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '', 'startTime': '2000-04-11 00:00:00'}
2022-04-20 16:12:54.459 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"endTime：结束时间不能为空","data":null}
2022-04-20 16:12:54.460 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.084833
2022-04-20 16:12:54.460 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：400
2022-04-20 16:12:54.460 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 16:12:54.460 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 16:12:54.664 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '2000-04-11 00:00:00', 'startTime': ''}
2022-04-20 16:12:54.664 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
2022-04-20 16:12:54.664 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.114442
2022-04-20 16:12:54.664 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：400
2022-04-20 16:12:54.665 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 16:12:54.665 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 16:12:54.848 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '1', 'startTime': ''}
2022-04-20 16:12:54.848 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
2022-04-20 16:12:54.849 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.094063
2022-04-20 16:12:54.849 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：400
2022-04-20 16:12:54.849 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 16:12:54.849 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 16:12:55.052 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'period': 'day'}
2022-04-20 16:12:55.053 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"agentDetail":[{"staticDateSegment":"2022.04.19","totalAgentNum":0,"newAgentNum":0},{"staticDateSegment":"2022.04.18","totalAgentNum":0,"newAgentNum":0}],"increaseTotalAgentNum":0,"increaseAgentNum":0,"increaseAgentRatio":0.00,"increaseTotalAgentRatio":0.00}}
2022-04-20 16:12:55.053 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.114953
2022-04-20 16:12:55.053 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 16:12:55.053 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 16:12:55.053 | INFO     | common.unittestMain:assert_data:96 - 响应内容与预期一致
2022-04-20 16:12:55.274 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'period': 'week'}
2022-04-20 16:12:55.274 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"agentDetail":[{"staticDateSegment":"2022.04.11-2022.04.17","totalAgentNum":0,"newAgentNum":0},{"staticDateSegment":"2022.04.04-2022.04.10","totalAgentNum":0,"newAgentNum":0}],"increaseTotalAgentNum":0,"increaseAgentNum":0,"increaseAgentRatio":0.00,"increaseTotalAgentRatio":0.00}}
2022-04-20 16:12:55.275 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.135732
2022-04-20 16:12:55.275 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 16:12:55.275 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 16:12:55.275 | INFO     | common.unittestMain:assert_data:96 - 响应内容与预期一致
2022-04-20 16:12:55.505 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'period': 'month'}
2022-04-20 16:12:55.505 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"agentDetail":[{"staticDateSegment":"2022.03.01-2022.03.31","totalAgentNum":0,"newAgentNum":0},{"staticDateSegment":"2022.02.01-2022.02.28","totalAgentNum":0,"newAgentNum":0}],"increaseTotalAgentNum":0,"increaseAgentNum":0,"increaseAgentRatio":0.00,"increaseTotalAgentRatio":0.00}}
2022-04-20 16:12:55.506 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.126307
2022-04-20 16:12:55.506 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 16:12:55.506 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 16:12:55.506 | INFO     | common.unittestMain:assert_data:96 - 响应内容与预期一致
2022-04-20 16:12:55.709 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'period': 'quarter'}
2022-04-20 16:12:55.709 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"agentDetail":[{"staticDateSegment":"2022.01.01-2022.03.31","totalAgentNum":0,"newAgentNum":0},{"staticDateSegment":"2021.10.01-2021.12.31","totalAgentNum":0,"newAgentNum":0}],"increaseTotalAgentNum":0,"increaseAgentNum":0,"increaseAgentRatio":0.00,"increaseTotalAgentRatio":0.00}}
2022-04-20 16:12:55.710 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.119531
2022-04-20 16:12:55.710 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 16:12:55.710 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 16:12:55.710 | INFO     | common.unittestMain:assert_data:96 - 响应内容与预期一致
2022-04-20 16:12:55.876 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'period': '0'}
2022-04-20 16:12:55.876 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":-1,"msg":"接口未知异常","data":null}
2022-04-20 16:12:55.877 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.079533
2022-04-20 16:12:55.877 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：-1
