2022-04-19 09:39:12.917 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'startTime': '2022-04-13 00:00:00', 'endTime': '2022-04-14 00:00:00'}
2022-04-19 09:39:12.917 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[]}
2022-04-19 09:39:12.917 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.309746
2022-04-19 09:39:12.917 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-19 09:39:12.918 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-19 09:39:12.918 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-19 09:39:13.181 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'startTime': '2020-04-13 00:00:00', 'endTime': '2025-04-14 00:00:00'}
2022-04-19 09:39:13.181 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[]}
2022-04-19 09:39:13.181 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.173395
2022-04-19 09:39:13.182 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-19 09:39:13.182 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-19 09:39:13.182 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-19 09:39:13.384 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'startTime': '', 'endTime': '2025-04-14 00:00:00'}
2022-04-19 09:39:13.384 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
2022-04-19 09:39:13.385 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.096895
2022-04-19 09:39:13.385 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：400
2022-04-19 09:39:13.385 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-19 09:39:13.385 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-19 09:39:13.559 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'startTime': '', 'endTime': '2025-04-14 00:00:00'}
2022-04-19 09:39:13.560 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
2022-04-19 09:39:13.560 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.08051
2022-04-19 09:39:13.560 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：400
2022-04-19 09:39:13.560 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-19 09:39:13.561 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
