2022-05-23 17:20:03.165 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '2022-04-19 00:00:00', 'startTime': '2000-04-11 00:00:00'}
2022-05-23 17:20:03.165 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[]}
2022-05-23 17:20:03.165 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.195179
2022-05-23 17:20:03.165 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-05-23 17:20:03.165 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-05-23 17:20:03.165 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-05-23 17:20:03.352 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '2022-04-01 00:00:00', 'startTime': '2000-04-11 00:00:00'}
2022-05-23 17:20:03.352 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[]}
2022-05-23 17:20:03.353 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.09729
2022-05-23 17:20:03.353 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-05-23 17:20:03.353 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-05-23 17:20:03.353 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-05-23 17:20:03.531 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '', 'startTime': '2000-04-11 00:00:00'}
2022-05-23 17:20:03.531 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"endTime：结束时间不能为空","data":null}
2022-05-23 17:20:03.531 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.09941
2022-05-23 17:20:03.531 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：400
2022-05-23 17:20:03.531 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-05-23 17:20:03.531 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-05-23 17:20:03.685 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '2000-04-11 00:00:00', 'startTime': ''}
2022-05-23 17:20:03.686 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
2022-05-23 17:20:03.686 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.070763
2022-05-23 17:20:03.686 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：400
2022-05-23 17:20:03.686 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-05-23 17:20:03.686 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-05-23 17:20:03.834 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '1', 'startTime': ''}
2022-05-23 17:20:03.834 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
2022-05-23 17:20:03.834 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.070901
2022-05-23 17:20:03.835 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：400
2022-05-23 17:20:03.835 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-05-23 17:20:03.835 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-05-23 17:20:04.040 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'period': 'day'}
2022-05-23 17:20:04.040 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"agentDetail":[{"staticDateSegment":"2022.05.22","totalAgentNum":0,"newAgentNum":0},{"staticDateSegment":"2022.05.21","totalAgentNum":0,"newAgentNum":0}],"increaseTotalAgentNum":0,"increaseAgentNum":0,"increaseAgentRatio":0.00,"increaseTotalAgentRatio":0.00}}
2022-05-23 17:20:04.041 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.125126
2022-05-23 17:20:04.041 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-05-23 17:20:04.041 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-05-23 17:20:04.041 | INFO     | common.unittestMain:assert_data:96 - 响应内容与预期一致
2022-05-23 17:20:04.257 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'period': 'week'}
