2022-04-13 10:48:14.546 | INFO     | agentTestCase:test_001_post_queryEveryDayData:29 - 接口响应时间为：0.155526
2022-04-13 10:48:14.547 | INFO     | agentTestCase:test_001_post_queryEveryDayData:31 - busicode为：0
2022-04-13 10:48:14.547 | INFO     | agentTestCase:test_001_post_queryEveryDayData:33 - msg与预期一致
2022-04-13 10:48:14.547 | INFO     | agentTestCase:test_001_post_queryEveryDayData:36 - 响应内容与预期一致
2022-04-13 10:48:14.730 | INFO     | agentTestCase:test_001_post_queryEveryDayData:29 - 接口响应时间为：0.093122
2022-04-13 10:48:14.730 | INFO     | agentTestCase:test_001_post_queryEveryDayData:31 - busicode为：0
2022-04-13 10:48:14.731 | INFO     | agentTestCase:test_001_post_queryEveryDayData:33 - msg与预期一致
2022-04-13 10:48:14.732 | INFO     | agentTestCase:test_001_post_queryEveryDayData:36 - 响应内容与预期一致
2022-04-13 10:48:14.895 | INFO     | agentTestCase:test_001_post_queryEveryDayData:29 - 接口响应时间为：0.075135
2022-04-13 10:48:14.896 | INFO     | agentTestCase:test_001_post_queryEveryDayData:31 - busicode为：400
2022-04-13 10:48:14.896 | INFO     | agentTestCase:test_001_post_queryEveryDayData:33 - msg与预期一致
2022-04-13 10:48:14.896 | INFO     | agentTestCase:test_001_post_queryEveryDayData:39 - 响应内容与预期一致
2022-04-13 10:48:15.061 | INFO     | agentTestCase:test_001_post_queryEveryDayData:29 - 接口响应时间为：0.077655
2022-04-13 10:48:15.061 | INFO     | agentTestCase:test_001_post_queryEveryDayData:31 - busicode为：400
2022-04-13 10:48:15.061 | INFO     | agentTestCase:test_001_post_queryEveryDayData:33 - msg与预期一致
2022-04-13 10:48:15.061 | INFO     | agentTestCase:test_001_post_queryEveryDayData:39 - 响应内容与预期一致
2022-04-13 10:48:15.222 | INFO     | agentTestCase:test_001_post_queryEveryDayData:29 - 接口响应时间为：0.075356
2022-04-13 10:48:15.222 | INFO     | agentTestCase:test_001_post_queryEveryDayData:31 - busicode为：400
2022-04-13 10:48:15.223 | INFO     | agentTestCase:test_001_post_queryEveryDayData:33 - msg与预期一致
2022-04-13 10:48:15.223 | INFO     | agentTestCase:test_001_post_queryEveryDayData:39 - 响应内容与预期一致
2022-04-13 10:48:15.470 | INFO     | agentTestCase:test_002_post_queryRatioData:51 - 接口响应时间为：0.147269
