2022-04-13 17:01:09.748 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例请求内容为：{'endTime': '', 'startTime': '2022-04-13 23:59:59'}
2022-04-13 17:01:09.749 | DEBUG    | common.unittestMain:req_assert:74 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"endTime：结束时间不能为空","data":null}
2022-04-13 17:01:09.749 | INFO     | common.unittestMain:req_assert:77 - 接口响应时间为：0.090715
2022-04-13 17:01:09.749 | INFO     | common.unittestMain:req_assert:79 - busicode与预期一致为：400
2022-04-13 17:01:09.749 | INFO     | common.unittestMain:req_assert:81 - msg与预期一致
2022-04-13 17:01:09.750 | INFO     | common.unittestMain:assert_data:92 - 响应内容与预期一致
2022-04-13 17:01:09.930 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例请求内容为：{'endTime': '2022-04-13 23:59:59', 'startTime': ''}
2022-04-13 17:01:09.931 | DEBUG    | common.unittestMain:req_assert:74 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
2022-04-13 17:01:09.931 | INFO     | common.unittestMain:req_assert:77 - 接口响应时间为：0.085638
2022-04-13 17:01:09.931 | INFO     | common.unittestMain:req_assert:79 - busicode与预期一致为：400
2022-04-13 17:01:09.931 | INFO     | common.unittestMain:req_assert:81 - msg与预期一致
2022-04-13 17:01:09.932 | INFO     | common.unittestMain:assert_data:92 - 响应内容与预期一致
2022-04-13 17:01:10.124 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例请求内容为：{'endTime': '2022-04-13 23:59:59', 'startTime': '2022-04-13 23:59:59'}
2022-04-13 17:01:10.125 | DEBUG    | common.unittestMain:req_assert:74 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[]}
2022-04-13 17:01:10.125 | INFO     | common.unittestMain:req_assert:77 - 接口响应时间为：0.093055
2022-04-13 17:01:10.125 | INFO     | common.unittestMain:req_assert:79 - busicode与预期一致为：0
2022-04-13 17:01:10.125 | INFO     | common.unittestMain:req_assert:81 - msg与预期一致
2022-04-13 17:01:10.125 | INFO     | common.unittestMain:assert_data:89 - 响应内容与预期一致
2022-04-13 17:01:10.297 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例请求内容为：{'endTime': '2022-04-13 23:59:59', 'startTime': '2022-01-13 23:59:59'}
2022-04-13 17:01:10.298 | DEBUG    | common.unittestMain:req_assert:74 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[{"staticDate":"2022-03-10","totalBindClinicNum":0,"newBindClinicNum":0,"unBindClinicNum":0},{"staticDate":"2022-03-18","totalBindClinicNum":555,"newBindClinicNum":0,"unBindClinicNum":0},{"staticDate":"2022-04-11","totalBindClinicNum":124,"newBindClinicNum":0,"unBindClinicNum":0}]}
2022-04-13 17:01:10.298 | INFO     | common.unittestMain:req_assert:77 - 接口响应时间为：0.093038
2022-04-13 17:01:10.298 | INFO     | common.unittestMain:req_assert:79 - busicode与预期一致为：0
2022-04-13 17:01:10.298 | INFO     | common.unittestMain:req_assert:81 - msg与预期一致
2022-04-13 17:01:10.298 | INFO     | common.unittestMain:assert_data:89 - 响应内容与预期一致
2022-04-13 17:01:10.494 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例请求内容为：{'endTime': '2022-01-13 23:59:59', 'startTime': '2022-01-13 23:59:59'}
2022-04-13 17:01:10.495 | DEBUG    | common.unittestMain:req_assert:74 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[]}
2022-04-13 17:01:10.495 | INFO     | common.unittestMain:req_assert:77 - 接口响应时间为：0.117627
2022-04-13 17:01:10.495 | INFO     | common.unittestMain:req_assert:79 - busicode与预期一致为：0
2022-04-13 17:01:10.495 | INFO     | common.unittestMain:req_assert:81 - msg与预期一致
2022-04-13 17:01:10.495 | INFO     | common.unittestMain:assert_data:89 - 响应内容与预期一致
