2022-04-13 15:58:06.329 | INFO     | common.unittestMain:req_assert:80 - busicode与预期一致为：0
2022-04-13 15:58:06.329 | INFO     | common.unittestMain:req_assert:82 - msg与预期一致
2022-04-13 15:58:06.329 | INFO     | common.unittestMain:assert_data:90 - 响应内容与预期一致
2022-04-13 15:58:06.493 | INFO     | common.unittestMain:req_assert:75 - {"busiCode":-1,"msg":"接口未知异常","data":null}
2022-04-13 15:58:06.493 | INFO     | common.unittestMain:req_assert:78 - 接口响应时间为：0.077707
2022-04-13 15:58:06.493 | INFO     | common.unittestMain:req_assert:80 - busicode与预期一致为：-1
2022-04-13 15:58:06.493 | INFO     | common.unittestMain:req_assert:82 - msg与预期一致
2022-04-13 15:58:06.493 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-13 15:58:06.649 | INFO     | common.unittestMain:req_assert:75 - {"busiCode":-1,"msg":"接口未知异常","data":null}
2022-04-13 15:58:06.649 | INFO     | common.unittestMain:req_assert:78 - 接口响应时间为：0.072811
2022-04-13 15:58:06.649 | INFO     | common.unittestMain:req_assert:80 - busicode与预期一致为：-1
2022-04-13 15:58:06.649 | INFO     | common.unittestMain:req_assert:82 - msg与预期一致
2022-04-13 15:58:06.650 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-13 15:58:06.816 | INFO     | common.unittestMain:req_assert:75 - {"busiCode":-1,"msg":"接口未知异常","data":null}
2022-04-13 15:58:06.817 | INFO     | common.unittestMain:req_assert:78 - 接口响应时间为：0.075664
2022-04-13 15:58:06.817 | INFO     | common.unittestMain:req_assert:80 - busicode与预期一致为：-1
2022-04-13 15:58:06.817 | INFO     | common.unittestMain:req_assert:82 - msg与预期一致
2022-04-13 15:58:06.817 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-13 15:58:06.974 | INFO     | common.unittestMain:req_assert:75 - {"busiCode":-1,"msg":"接口未知异常","data":null}
2022-04-13 15:58:06.974 | INFO     | common.unittestMain:req_assert:78 - 接口响应时间为：0.074075
2022-04-13 15:58:06.974 | INFO     | common.unittestMain:req_assert:80 - busicode与预期一致为：-1
2022-04-13 15:58:06.974 | INFO     | common.unittestMain:req_assert:82 - msg与预期一致
2022-04-13 15:58:06.974 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-13 15:58:07.155 | INFO     | common.unittestMain:req_assert:75 - {"busiCode":0,"msg":"请求成功","data":[{"staticDate":"2021-12-15","activeClinic":0,"inActiveClinic":555,"activeClinicRatio":0.00},{"staticDate":"2022-01-06","activeClinic":0,"inActiveClinic":555,"activeClinicRatio":0.00},{"staticDate":"2022-03-10","activeClinic":0,"inActiveClinic":0,"activeClinicRatio":0.00},{"staticDate":"2022-03-18","activeClinic":0,"inActiveClinic":555,"activeClinicRatio":0.00}]}
2022-04-13 15:58:07.156 | INFO     | common.unittestMain:req_assert:78 - 接口响应时间为：0.093326
2022-04-13 15:58:07.157 | INFO     | common.unittestMain:req_assert:80 - busicode与预期一致为：0
2022-04-13 15:58:07.157 | INFO     | common.unittestMain:req_assert:82 - msg与预期一致
2022-04-13 15:58:07.158 | INFO     | common.unittestMain:assert_data:90 - 响应内容与预期一致
2022-04-13 15:58:07.310 | INFO     | common.unittestMain:req_assert:75 - {"busiCode":400,"msg":"endTime：结束时间不能为空","data":null}
2022-04-13 15:58:07.311 | INFO     | common.unittestMain:req_assert:78 - 接口响应时间为：0.069909
2022-04-13 15:58:07.311 | INFO     | common.unittestMain:req_assert:80 - busicode与预期一致为：400
2022-04-13 15:58:07.311 | INFO     | common.unittestMain:req_assert:82 - msg与预期一致
2022-04-13 15:58:07.311 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-13 15:58:07.464 | INFO     | common.unittestMain:req_assert:75 - {"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
2022-04-13 15:58:07.465 | INFO     | common.unittestMain:req_assert:78 - 接口响应时间为：0.070302
2022-04-13 15:58:07.465 | INFO     | common.unittestMain:req_assert:80 - busicode与预期一致为：400
2022-04-13 15:58:07.465 | INFO     | common.unittestMain:req_assert:82 - msg与预期一致
2022-04-13 15:58:07.465 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-13 15:58:07.624 | INFO     | common.unittestMain:req_assert:75 - {"busiCode":400,"msg":"参数解析异常","data":null}
2022-04-13 15:58:07.625 | INFO     | common.unittestMain:req_assert:78 - 接口响应时间为：0.078639
2022-04-13 15:58:07.625 | INFO     | common.unittestMain:req_assert:80 - busicode与预期一致为：400
2022-04-13 15:58:07.625 | INFO     | common.unittestMain:req_assert:82 - msg与预期一致
2022-04-13 15:58:07.625 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-13 15:58:07.783 | INFO     | common.unittestMain:req_assert:75 - {"busiCode":400,"msg":"参数解析异常","data":null}
2022-04-13 15:58:07.783 | INFO     | common.unittestMain:req_assert:78 - 接口响应时间为：0.075873
2022-04-13 15:58:07.783 | INFO     | common.unittestMain:req_assert:80 - busicode与预期一致为：400
2022-04-13 15:58:07.784 | INFO     | common.unittestMain:req_assert:82 - msg与预期一致
2022-04-13 15:58:07.784 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-13 15:58:07.931 | INFO     | common.unittestMain:req_assert:75 - {"busiCode":400,"msg":"参数解析异常","data":null}
2022-04-13 15:58:07.931 | INFO     | common.unittestMain:req_assert:78 - 接口响应时间为：0.065232
2022-04-13 15:58:07.931 | INFO     | common.unittestMain:req_assert:80 - busicode与预期一致为：400
2022-04-13 15:58:07.932 | INFO     | common.unittestMain:req_assert:82 - msg与预期一致
2022-04-13 15:58:07.932 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-13 15:58:08.225 | INFO     | common.unittestMain:req_assert:75 - {"busiCode":0,"msg":"请求成功","data":{"total":3,"list":[{"clinicId":"1460172750298550274","clinicName":"王刚","clinicMobile":"16621056013","agentName":"王杰","testAmount":0.00,"testNumber":0.0,"testPerson":0.00,"installedDay":140,"address":"湖南省长沙市雨花区湘府东路200","headPicture":null,"termAgentName":"王杰","termAgentId":"1413077292501479425"},{"clinicId":"1460549694448119810","clinicName":"刘伶","clinicMobile":"16621056014","agentName":"王杰","testAmount":0.00,"testNumber":0.0,"testPerson":0.00,"installedDay":0,"address":null,"headPicture":null,"termAgentName":"王杰","termAgentId":"1413077292501479425"},{"clinicId":"1473181445678108674","clinicName":"老黄","clinicMobile":"16621056015","agentName":"王杰","testAmount":0.00,"testNumber":0.0,"testPerson":0.00,"installedDay":0,"address":"洞井子街道湘府路","headPicture":null,"termAgentName":"王杰","termAgentId":"1413077292501479425"}]}}
2022-04-13 15:58:08.225 | INFO     | common.unittestMain:req_assert:78 - 接口响应时间为：0.212932
2022-04-13 15:58:08.226 | INFO     | common.unittestMain:req_assert:80 - busicode与预期一致为：0
2022-04-13 15:58:08.226 | INFO     | common.unittestMain:req_assert:82 - msg与预期一致
2022-04-13 15:58:08.226 | INFO     | common.unittestMain:assert_data:90 - 响应内容与预期一致
2022-04-13 15:58:08.478 | INFO     | common.unittestMain:req_assert:75 - {"busiCode":0,"msg":"请求成功","data":{"total":3,"list":[{"clinicId":"1460172750298550274","clinicName":"王刚","clinicMobile":"16621056013","agentName":"王杰","testAmount":0.00,"testNumber":0.0,"testPerson":0.00,"installedDay":140,"address":"湖南省长沙市雨花区湘府东路200","headPicture":null,"termAgentName":"王杰","termAgentId":"1413077292501479425"},{"clinicId":"1460549694448119810","clinicName":"刘伶","clinicMobile":"16621056014","agentName":"王杰","testAmount":0.00,"testNumber":0.0,"testPerson":0.00,"installedDay":0,"address":null,"headPicture":null,"termAgentName":"王杰","termAgentId":"1413077292501479425"},{"clinicId":"1473181445678108674","clinicName":"老黄","clinicMobile":"16621056015","agentName":"王杰","testAmount":0.00,"testNumber":0.0,"testPerson":0.00,"installedDay":0,"address":"洞井子街道湘府路","headPicture":null,"termAgentName":"王杰","termAgentId":"1413077292501479425"}]}}
2022-04-13 15:58:08.479 | INFO     | common.unittestMain:req_assert:78 - 接口响应时间为：0.159798
2022-04-13 15:58:08.479 | INFO     | common.unittestMain:req_assert:80 - busicode与预期一致为：0
2022-04-13 15:58:08.479 | INFO     | common.unittestMain:req_assert:82 - msg与预期一致
2022-04-13 15:58:08.479 | INFO     | common.unittestMain:assert_data:90 - 响应内容与预期一致
