2022-04-13 17:17:04.503 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'endTime': '2022-04-01 00:00:00', 'startTime': '2000-04-11 00:00:00'}
2022-04-13 17:17:04.504 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[{"staticDate":"2021-12-15","totalAgentNum":130,"newAgentNum":0},{"staticDate":"2021-12-17","totalAgentNum":130,"newAgentNum":0},{"staticDate":"2022-01-06","totalAgentNum":130,"newAgentNum":0},{"staticDate":"2022-01-12","totalAgentNum":1,"newAgentNum":0},{"staticDate":"2022-01-13","totalAgentNum":7,"newAgentNum":0},{"staticDate":"2022-03-18","totalAgentNum":24,"newAgentNum":0}]}
2022-04-13 17:17:04.506 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.357741
2022-04-13 17:17:04.506 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-13 17:17:04.506 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-13 17:17:04.506 | INFO     | common.unittestMain:assert_data:88 - 响应内容与预期一致
2022-04-13 17:17:04.716 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'endTime': '2022-04-01 00:00:00', 'startTime': '2000-04-11 00:00:00'}
2022-04-13 17:17:04.717 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[{"staticDate":"2021-12-15","totalAgentNum":15,"newAgentNum":0},{"staticDate":"2021-12-17","totalAgentNum":15,"newAgentNum":0},{"staticDate":"2022-01-06","totalAgentNum":35,"newAgentNum":0},{"staticDate":"2022-01-13","totalAgentNum":3,"newAgentNum":0},{"staticDate":"2022-03-18","totalAgentNum":11,"newAgentNum":0}]}
2022-04-13 17:17:04.717 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.122517
2022-04-13 17:17:04.717 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-13 17:17:04.717 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-13 17:17:04.717 | INFO     | common.unittestMain:assert_data:88 - 响应内容与预期一致
2022-04-13 17:17:04.900 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'endTime': '', 'startTime': '2000-04-11 00:00:00'}
2022-04-13 17:17:04.900 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"endTime：结束时间不能为空","data":null}
2022-04-13 17:17:04.900 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.096328
2022-04-13 17:17:04.900 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：400
2022-04-13 17:17:04.900 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-13 17:17:04.901 | INFO     | common.unittestMain:assert_data:91 - 响应内容与预期一致
2022-04-13 17:17:05.068 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'endTime': '2000-04-11 00:00:00', 'startTime': ''}
2022-04-13 17:17:05.069 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
