2022-04-13 16:00:24.265 | DEBUG    | common.unittestMain:req_assert:75 - 本次执行的测试用例请求内容为：{'endTime': '2022-04-01 00:00:00', 'startTime': '2000-04-11 00:00:00'}
2022-04-13 16:00:24.266 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[{"staticDate":"2021-12-15","totalAgentNum":130,"newAgentNum":0},{"staticDate":"2021-12-17","totalAgentNum":130,"newAgentNum":0},{"staticDate":"2022-01-06","totalAgentNum":130,"newAgentNum":0},{"staticDate":"2022-01-12","totalAgentNum":1,"newAgentNum":0},{"staticDate":"2022-01-13","totalAgentNum":7,"newAgentNum":0},{"staticDate":"2022-03-18","totalAgentNum":24,"newAgentNum":0}]}
2022-04-13 16:00:24.266 | INFO     | common.unittestMain:req_assert:79 - 接口响应时间为：0.099777
2022-04-13 16:00:24.266 | INFO     | common.unittestMain:req_assert:81 - busicode与预期一致为：0
2022-04-13 16:00:24.267 | INFO     | common.unittestMain:req_assert:83 - msg与预期一致
2022-04-13 16:00:24.267 | INFO     | common.unittestMain:assert_data:91 - 响应内容与预期一致
2022-04-13 16:00:24.479 | DEBUG    | common.unittestMain:req_assert:75 - 本次执行的测试用例请求内容为：{'endTime': '2022-04-01 00:00:00', 'startTime': '2000-04-11 00:00:00'}
2022-04-13 16:00:24.479 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[{"staticDate":"2021-12-15","totalAgentNum":15,"newAgentNum":0},{"staticDate":"2021-12-17","totalAgentNum":15,"newAgentNum":0},{"staticDate":"2022-01-06","totalAgentNum":35,"newAgentNum":0},{"staticDate":"2022-01-13","totalAgentNum":3,"newAgentNum":0},{"staticDate":"2022-03-18","totalAgentNum":11,"newAgentNum":0}]}
2022-04-13 16:00:24.479 | INFO     | common.unittestMain:req_assert:79 - 接口响应时间为：0.120716
2022-04-13 16:00:24.479 | INFO     | common.unittestMain:req_assert:81 - busicode与预期一致为：0
2022-04-13 16:00:24.480 | INFO     | common.unittestMain:req_assert:83 - msg与预期一致
2022-04-13 16:00:24.480 | INFO     | common.unittestMain:assert_data:91 - 响应内容与预期一致
2022-04-13 16:00:24.632 | DEBUG    | common.unittestMain:req_assert:75 - 本次执行的测试用例请求内容为：{'endTime': '', 'startTime': '2000-04-11 00:00:00'}
2022-04-13 16:00:24.632 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"endTime：结束时间不能为空","data":null}
2022-04-13 16:00:24.632 | INFO     | common.unittestMain:req_assert:79 - 接口响应时间为：0.067927
2022-04-13 16:00:24.632 | INFO     | common.unittestMain:req_assert:81 - busicode与预期一致为：400
2022-04-13 16:00:24.632 | INFO     | common.unittestMain:req_assert:83 - msg与预期一致
2022-04-13 16:00:24.633 | INFO     | common.unittestMain:assert_data:94 - 响应内容与预期一致
2022-04-13 16:00:24.829 | DEBUG    | common.unittestMain:req_assert:75 - 本次执行的测试用例请求内容为：{'endTime': '2000-04-11 00:00:00', 'startTime': ''}
2022-04-13 16:00:24.830 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
2022-04-13 16:00:24.830 | INFO     | common.unittestMain:req_assert:79 - 接口响应时间为：0.07958
2022-04-13 16:00:24.830 | INFO     | common.unittestMain:req_assert:81 - busicode与预期一致为：400
2022-04-13 16:00:24.830 | INFO     | common.unittestMain:req_assert:83 - msg与预期一致
2022-04-13 16:00:24.830 | INFO     | common.unittestMain:assert_data:94 - 响应内容与预期一致
2022-04-13 16:00:24.988 | DEBUG    | common.unittestMain:req_assert:75 - 本次执行的测试用例请求内容为：{'endTime': '1', 'startTime': ''}
2022-04-13 16:00:24.988 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
2022-04-13 16:00:24.988 | INFO     | common.unittestMain:req_assert:79 - 接口响应时间为：0.070499
2022-04-13 16:00:24.988 | INFO     | common.unittestMain:req_assert:81 - busicode与预期一致为：400
